División,Proyecto,Área,Tecnología,Línea,Dfecto,Relacionado a
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD DAÑADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD DAÑADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD DAÑADA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD DAÑADA,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CAMBIO DE INGENIERIA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CAMBIO DE INGENIERIA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,COMPONENTE FRACTURADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,COMPONENTE FRACTURADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONECTOR QUEBRADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONECTOR QUEBRADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONTAMINACION,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONTAMINACION,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONTAMINACION,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,CONTAMINACION,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,DAÑO POR FIXTURA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,DAÑO POR FIXTURA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,DAÑO POR MAL DISEÑO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,EXCESO DE PRUEBAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,EXCESO DE PRUEBAS,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,FALLA INTERLOKING,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,MAL MANEJO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,MUESTRA DE ORO DAÑADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,MUESTRA DE ORO DAÑADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,MUESTRA DE ORO OBSOLETA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CON RAYADURAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CON RAYADURAS,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CON RAYADURAS,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CONTAMINADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CONTAMINADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PCB CONTAMINADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PIN DOBLADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PIN DOBLADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PIN DOBLADO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PIN DOBLADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PROBLEMA SOFTWARE,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PROBLEMA SOFTWARE,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,PRUEBA DESTRUCTIVA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,SET UP DE EQUIPO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,SET UP DE EQUIPO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,SIN PRUEBA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD DUPLICADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD DUPLICADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD DUPLICADA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD GOLPEADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD POR LIBERACION,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ICT,ARAMIS 2010,UNIDAD RAYADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,COMPONENTE ARRANCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,COMPONENTE ARRANCADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,COMPONENTE EQUIVOCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,COMPONENTE FRACTURADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,COMPONENTE FRACTURADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,ELEVADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,ELEVADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,FALTANTE,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,POLARIDAD INVERTIDA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,SIN EVIDENCIA DE PIN,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,SIN EVIDENCIA DE PIN,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,COMPONENTE ARRANCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,COMPONENTE ARRANCADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,COMPONENTE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,COMPONENTE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,EXCESO DE LACA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,EXCESO DE LACA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,EXCESO DE LACA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,INSUFICIENCIA DE LACA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,INSUFICIENCIA DE LACA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,INSUFICIENCIA DE LACA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,SET UP DE EQUIPO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,LAQUEADO,ARAMIS 2010,UNIDAD CAIDA AL PISO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,COMPONENTE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,COMPONENTE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,EXCESO DE POTTING,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,EXCESO DE POTTING,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,INSUFICIENCIA DE POTTING,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,INSUFICIENCIA DE POTTING,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,POTTING DESPLAZADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,SET UP DE EQUIPO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,POTTING,ARAMIS 2010,UNIDAD CAIDA AL PISO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,CONECTOR DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,CONECTOR DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,CONECTOR DAÑADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,EXCESO DE PRUEBAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,EXCESO DE PRUEBAS,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,MATERIAL OBSOLETO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,MATERIAL OBSOLETO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,MUESTRA DE ORO OBSOLETA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,PIN DE CONECTOR DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,PIN DE CONECTOR DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,SET UP DE EQUIPO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,SET UP DE EQUIPO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
