No.Parte	Cantidad
A2C31535000	80
A2C5321554093	40
A2C53215540	240
A2C53306326	8
A2C53304050	1
A2C53322135	2800
A2C31109500	2
A2C33278700	4
A2C31231400	4
A2C31231400	2
A2C31231400	1
A2C31231400	3
A2C73658000	3
A2C73658000	1
A2C73658100	1
A2C73658100	1
A2C73658000	1
A2C73658000	1
A2C73658000	1
A2C73658000	1
A2C73658100	1
A2C73658100	2
A2C31231300	2
A2C53242673	13
A2C30840000	96
A2C53242674	15
6598172132	210
A2C53427412	8
A2C31535000	40
6598172132	70
A2C53249345	4
A2C53428225	4
A2C53428198	12
A2C53428199	84
A2C33101700	2
A2C33101700	1
A2C33101700	1
A2C33101700	2
A2C53352996	23
A2C00051931	46
A2C30840000	96
A2C31563500	3
A2C81364500	3
A2C81364500	1
A2C81364500	1
A2C31556200	1
A2C53311707	1
A2C81364500	1
A2C31556200	3
A2C37350900	1
A2C31556200	1
A2C81364500	1
A2C81364500	1
A2C81364500	1
A2C81364500	1
A2C81364500	6
A2C81364500	1
A2C53385267	128
A2C53430025	6
A2C32119300	6
A2C32144600	3
A2C32147600	1
A2C33278700	1
A2C73658000	1
A2C53404863	3
A2C53402230	2
A2C53402231	1
A2C53339918	2
A2C53215555	231
A2C00004906	34
A2C53242673	4
A2C53215553	1
A2C53380225	16
A2C53215555	16
A2C00010398	1
A2C53249431	1
A2C53249431	1
A2C53278289	1
A2C53285408	1
A2C53278287	1
6593371301	32
A2C00051803	32
A2C53289060	16
A2C00051931	8
A2C81364500	3
A2C81364500	2
A2C81364500	1
A2C81364500	2
A2C31556200	1
A2C53311707	1
A2C81364500	2
A2C81364500	1
A2C81364500	1
A2C81364500	1
A2C00046497	133
A2C53345109	1
A2C53402230	3
A2C53404863	23
A2C53335101	23
A2C53345109	5
A2C53345109	14
A2C53345109	3
A2C53345109	3
A2C53311707	6
A2C53242674	15
A2C53385267	32
A2C31535000	440
A2C31535000	120
A2C53404864	8
A2C53306326	8
A2C53427412	16
A2C53428225	4
A2C31231400	12
A2C33313400	96
A2C00041938	7
A2C00048398	24
A2C00041005	7
A2C53331175	40
A2C53331174	89
A2C53341943	33
A2C00010853	7
A2C7365810093	2
A2C73658000	2
A2C73658000	1
A2C73658100	1
A2C53278294	1
A2C73658000	2
A2C30889500	1
A2C73658100	1
A2C73658100	1
A2C73658000	1
A2C33278700	6
A2C33278700	1
A2C33278700	1
6598177632	90
A2C53242673	18
A2C53242673	43
A2C53428225	8
A2C32144600	1
A2C31229200	8
A2C53428229	4
A2C53428228	90
A2C53428222	112
A2C53428223	32
A2C31229200	4
A2C32119300	2
A2C32144600	2
A2C33278700	2
6598177632	18
A2C53310663	2
A2C53278294	2
A2C53426149	25
A2C53385267	32
A2C53253118	60
A2C33313400	144
A2C7360170193	18
A2C7360170193	4
A2C37574600	479
A2C00049618	13
A2C00062499	61
A2C00056925	59
6596312047	223
A2C00030255	110
A2C00025110	86
A2C00046274	17
A2C00050435	4
A2C00053275	2
A2C00034679	232
A2C53322437	226
A2C53375403	24
A2C00048063	32
A2C73658000	2
A2C73658000	1
A2C33278700	1
A2C00058147	62
A2C00061391	62
A2C00049143	62
A2C00005692	59
A2C00047810	60
A2C00036024	60
A2C00008321	60
A2C00058151	61
A2C00156400	4
A2C00041004	5
A2C53345109	2
A2C81364500	1
A2C53311707	7
A2C53402830	3
A2C53402830	1
A2C53319818	1
A2C53402099	3
A2C34827100	1
A2C53402230	24
A2C53345109	29
A2C81364500	2
A2C53164060	16
A2C53249431	9
A2C53249431	13
A2C32119300	2
A2C32119500	10
A2C53249282B	4
A2C53306326	16
A2C31231400T	2
A2C8083440093	4
A2C31231400	2
A2C37574700	275
A2C3752200093	5
A2C53348714	2
A2C32163500	2
A2C32163600	1
A2C32163600	7
A2C53348715	2
A2C53348714	1
A2C32163600	3
A2C53348714	1
A2C53348714	2
A2C32163500	4
A2C31556200	6
A2C31109500	6
A2C53352996	3
A2C32163500	3
A2C31109500	3
A2C53407338	3
A2C31556200	1
A2C81364500	2
A2C3156350093	6
A2C53319818	8
A2C53402100	1
A2C53402100	5
A2C53319818	4
A2C53319818	1
A2C3818940093	6
A2C30188101	1
A2C32253500	1
A2C53327812	2
A2C53277894	2
A2C53402230	2
A2C53402230	2
A2C53345109	3
A2C31749200	7
A2C31749200	12
A2C8077410093	120
A2C31749200	6
A2C32119300	3
A2C00010398	4
A2C53380226	18
A2C53215555	18
A2C53249431	29
A2C33278700	1
A2C53338452	2
A2C53338452	1
A2C53338452	1
A2C53338452	2
A2C53338452	6
A2C53404863	1
A2C73658100	1
A2C53404863	1
A2C53335101	1
A2C53335101	2
A2C53404863	2
6598177652	1
6598177652	2
6598177652	7
6598172152	140
A2C32118900	2
A2C53306326	8
A2C53404863B	8
A2C53338452	16
A2C53249431	1
A2C53278279	1
A2C53278278	1
A2C53278292	1
A2C53278277	1
6593371301	14
A2C53289060	7
A2C00051803	14
A2C53239500	18
A2C00046724	29
A2C53328412	17
A2C53328412	6
A2C53328412	1
A2C53385267	16
A2C53306326	8
A2C53239487	8
6598172132	35
A2C37523900	160
A2C31231400T	2
A2C31231400T	2
A2C73658100	2
A2C31231300	1
A2C73658100	1
A2C31231100	1
A2C31231400	1
A2C53328412	11
A2C00004906	1
A2C53215555	3
A2C53380226	3
A2C00010398	3
A2C53242673	8
A2C31231400	4
A2C33278700	2
A2C73658000	1
A2C73658000	2
A2C32305000	120
A2C00052450	15
A2C33098600	1
A2C30934201	2
A2C30934401	18
A2C32880400	38
A2C32880100	10
A2C83358900	57
A2C8141260093	180
A2C73658100	1
A2C32119500	2
A2C31231400	1
A2C31231400	1
A2C31231400T	2
A2C53428225	2
A2C3156350092	48
A2C3229720093	4
A2C3229720093	6
A2C53345109	3
A2C53345109	12
A2C53402230	6
A2C53345109	6
A2C81364500	1
A2C81364500	1
A2C81364500	2
A2C81364500	2
A2C53407338	1
A2C81364500	1
A2C31556200	2
A2C53407338	1
A2C53311707	2
A2C00051931	24
A2C73658000	1
A2C32144600	1
A2C73658100	1
A2C7365810093	2
A2C33278700	1
A2C53428225	10
A2C31231400T	6
A2C53410048	128
A2C53248677	25
A2C53248676	25
A2C81364700	1
A2C81364500	1
A2C81364700	1
A2C53311707	8
A2C53402100	3
A2C53402100	1
A2C53402099	2
A2C38189400	6
A2C53402830	3
A2C00046497	17
A2C31499000	2
A2C53402231	2
A2C30723401	1
A2C53429215	4
A2C00051931	24
A2C81364500	7
A2C31556200	1
A2C81364500	6
A2C81364700	6
A2C31563500	3
A2C73658100	1
A2C3752200093	7
A2C3752390093	28
A2C53338452	5
A2C53328412	11
A2C32119300	3
A2C32119300	1
A2C32118700	2
A2C33101700	2
A2C33101700	1
A2C33101700	1
A2C8016300092	24
A2C83457600	11
A2C53249431	1
A2C53249431	1
A2C53404863	1
A2C53335101	1
A2C53406354	1
A2C53404863	1
A2C53242676	18
A2C53242675	17
A2C53242673	18
A2C53216755	1
A2C53216755	3
A2C53216755	6
A2C53216755	2
A2C53216754	2
A2C53105128	5
A2C53248677	6
A2C53248676	6
A2C53248675	4
A2C53251742	1
A2C53105128	3
A2C53419610	3
A2C53278285	3
A2C53404863	17
A2C53335101	17
A2C53216753	3
A2C53216755	3
A2C53242676	2
A2C53242675	2
A2C53242673	2
A2C53242676	5
A2C53105128	2
A2C53248676	2
A2C53248677	2
A2C53419610	2
A2C53278282	8
A2C53419610	8
A2C53105128	8
A2C53242673	3
A2C53404863	1
A2C53239500	1
A2C00046724	1
A2C53242673	6
A2C53242673	8
A2C53251340	1
A2C53248674	3
A2C53251742	5
A2C53105128	5
A2C53248676	5
A2C53278292	5
A2C53105128	5
A2C53248676	5
A2C53278292	5
A2C53278278	2
A2C53278277	2
A2C53426618	2
A2C53278292	2
A2C53399807	16
A2C53331175	36
A2C53249431	1
A2C53249431	1
A2C53249431	1
A2C53249431	1
