area,tecnologia,defecto,division,causa,proyecto,division
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,ETIQUETA MAL IMPRESA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL ENSAMBLADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL ENSAMBLADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL ENSAMBLADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL FLUJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL FLUJO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL FLUJO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD DAÑADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD GOLPEADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD GOLPEADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,UNIDAD GOLPEADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,HOT MELT,EXCESO DE HOT MELT,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,HOT MELT,EXCESO DE HOT MELT,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,HOT MELT,MAL MANEJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX INCORRECTA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX INCORRECTA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PAD VOLADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PAD VOLADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PAD VOLADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,TOMBSTONING,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,TOMBSTONING,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DE PRUEBA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CAMBIO DE SOFTWARE,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE ELEVADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE EQUIVOCADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FALTANTE,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE FRACTURADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE MAL PREFORMADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE MAL PREFORMADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,DELAMINADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,ERROR DE FLLUJO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,EXCESO DE SOLDADURA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA DE SOLDADURA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PAD VOLADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PAD VOLADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,PIN DOBLADO,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,SIN EVIDENCIA DE PIN,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DE PRUEBA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD DE PRUEBA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD GOLPEADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD QUEMADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,OLA,UNIDADES CAIDAS AL PISO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE EQUIVOCADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE EQUIVOCADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE EQUIVOCADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE FRACTURADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE FRACTURADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,COMPONENTE FRACTURADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CONTAMINACION,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CONTAMINACION,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CONTAMINACION,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CORTOS,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CORTOS,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,CORTOS,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX DESPLAZADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX DESPLAZADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX ILEGIBLE,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX ILEGIBLE,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX ILEGIBLE,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,DATAMATRIX INCORRECTA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,EXCESO DE PASS-COUNT,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,EXCESO DE PASS-COUNT,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,EXCESO DE PASS-COUNT,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,MAL FLUJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,MAL FLUJO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,MAL FLUJO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,PIN ELEVADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,PIN ELEVADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,PIN ELEVADO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN INTERLOCKING,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN INTERLOCKING,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN INTERLOCKING,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN PRUEBA ANTERIOR,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN PRUEBA ANTERIOR,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,SIN PRUEBA ANTERIOR,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD CAIDA AL PISO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD DAÑADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD DE PRUEBA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD GOLPEADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD GOLPEADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,PROGRAMING,UNIDAD GOLPEADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA ABIERTA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA ABIERTA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA ABIERTA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA QUEBRADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA QUEBRADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA QUEBRADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA RAYADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA RAYADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,CARCASA RAYADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,IMPRESION DESPLAZADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,IMPRESION DESPLAZADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,IMPRESION DESPLAZADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,INFORMACION EN UNIDAD INCORRECTA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,INFORMACION EN UNIDAD INCORRECTA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,INFORMACION EN UNIDAD INCORRECTA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,MAL ENSAMBLADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,MAL ENSAMBLADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,MAL ENSAMBLADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,MAL FLUJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,MAL FLUJO,B&S,MAQUINA,BCM,B&S
