area,tecnologia,defecto,causa,division,proyecto,,
SMD,Impresion De Pasta,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Panel Atorado,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Pcb Abortado,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Pcb Defectuoso,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Perlas De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Set Up Equipo,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Soldadura Porosa,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Laser,Cobre Expuesto,METODO,PSAD,GM BRASIL,,
SMD,Laser,Data Matrix Duplicado,METODO,PSAD,GM BRASIL,,
SMD,Laser,Data Matrix Ilegible,METODO,PSAD,GM BRASIL,,
SMD,Laser,Data Matrix Incorrecto,METODO,PSAD,GM BRASIL,,
SMD,Laser,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Laser,Material Obsoleto,METODO,PSAD,GM BRASIL,,
SMD,Laser,Panel Atorado,METODO,PSAD,GM BRASIL,,
SMD,Laser,Sin Impresión De Data Matrix,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Adicional,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Arrancado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Boca Bajo,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Con Polaridad Invertida,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Dañado (Golpeado),METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente De Canto (De Lado),METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Equivocado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Componente Faltante,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Cortos /Puente De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Desplazado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Material Obsoleto,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Panel Atorado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Pcb Abortado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Pin Elevado,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Set Up Equipo,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Sin Prueba Anterior,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Tombstone,METODO,PSAD,GM BRASIL,,
SMD,Siplace,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
WHSE,014,CADUCO,METODO,PSAD,GM BRASIL,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PSAD,GM BRASIL,,
WHSE,014,DAÑADO,METODO,PSAD,GM BRASIL,,
WHSE,014,DAÑADO POR TRANSPORTE,METODO,PSAD,GM BRASIL,,
WHSE,014,DERRAME,METODO,PSAD,GM BRASIL,,
WHSE,014,DERRAME POR TRANSPORTE,METODO,PSAD,GM BRASIL,,
WHSE,014,GOLPEADO,METODO,PSAD,GM BRASIL,,
WHSE,014,MAL MANEJO DE ALMACEN,METODO,PSAD,GM BRASIL,,
WHSE,014,MATERIAL DAÑADO,METODO,PSAD,GM BRASIL,,
WHSE,014,MOJADO,METODO,PSAD,GM BRASIL,,
WHSE,014,OBSOLETO,METODO,PSAD,GM BRASIL,,
WHSE,014,SOBRE INVENTARIO,METODO,PSAD,GM BRASIL,,
WHSE,015,CADUCO,METODO,PSAD,GM BRASIL,,
WHSE,*,CAMBIO DE INGENIERIA,METODO,PSAD,GM BRASIL,,
WHSE,*,DAÑADO,METODO,PSAD,GM BRASIL,,
WHSE,*,DAÑADO POR TRANSPORTE,METODO,PSAD,GM BRASIL,,
WHSE,*,DERRAME,METODO,PSAD,GM BRASIL,,
WHSE,*,DERRAME POR TRANSPORTE,METODO,PSAD,GM BRASIL,,
WHSE,*,GOLPEADO,METODO,PSAD,GM BRASIL,,
WHSE,*,MAL MANEJO DE ALMACEN,METODO,PSAD,GM BRASIL,,
WHSE,*,MATERIAL DAÑADO,METODO,PSAD,GM BRASIL,,
WHSE,*,MOJADO,METODO,PSAD,GM BRASIL,,
WHSE,*,OBSOLETO,METODO,PSAD,GM BRASIL,,
WHSE,*,SOBRE INVENTARIO,METODO,PSAD,GM BRASIL,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
